Model,Train R2,Test R2,R2 Gap,Train RMSE,Test RMSE,Train MAE,Test MAE
"Random Forest (n_estimators=100, max_depth=15)",0.9949683874473084,0.9377095330684301,0.05725885437887834,0.6834311283176949,2.077108432711005,0.4302108488526598,1.4496813285460355
"Gradient Boosting (n_estimators=100, max_depth=5)",0.9877339829921226,0.9312450828198158,0.05648890017230679,1.0670700759826106,2.1822286706764187,0.7598236946726358,1.5907020077613012
Decision Tree (max_depth=10),0.9869543530145409,0.848470150463934,0.1384842025506069,1.1004592645241225,3.2396453643516163,0.662154363491059,2.1680179480899837
Ridge (alpha=1.0),0.8195766369147766,0.8072345789937163,0.012342057921060245,4.092489244509681,3.6539528693719476,3.058127464535911,2.782119163315521
Linear Regression,0.8197294333490603,0.8063208998783774,0.013408533470682937,4.090755959526127,3.6626022259595863,3.058079152339822,2.7916034218167662
Lasso (alpha=0.1),0.8094472947083302,0.8023028625615353,0.007144432146794943,4.205800993389556,3.7003990961255235,3.1340927573656394,2.8384063979982415
