Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,RMSE_Gap,R2_Gap
DummyRegressor,9.426750025782495,8.60663861033528,7.710268796785129,7.321906379028119,0.0,-0.06947437588198024,0.8201114154472151,0.06947437588198024
Linear Regression,1.7364889604413785,1.5912161953349502,0.884395577063019,0.8280834299233218,0.966067170752021,0.963443750790356,0.14527276510642828,0.00262341996166493
Decision Tree,1.191016297097716,1.286490881862375,0.5963285508397013,0.6727182043071968,0.9840371134663627,0.9761044696746554,-0.09547458476465898,0.007932643791707328
