Country,le_2021,le_2030,change
Syrian Arab Republic,72.4,81.41266666666662,9.012666666666618
South Sudan,58.6,66.722,8.121999999999993
Kenya,66.8,74.6572833333332,7.8572833333332
Sierra Leone,61.0,67.9584444444444,6.958444444444396
Cameroon,61.8,67.83733333333339,6.037333333333393
Maldives,75.4,81.29475000000001,5.894750000000002
Iraq,71.5,77.09398950956442,5.593989509564423
Uzbekistan,72.2,77.13966666666664,4.939666666666639
Liberia,63.5,68.14038888888888,4.640388888888879
Togo,63.9,68.49655187908512,4.596551879085119
Eswatini,54.6,59.18900000000005,4.589000000000048
Côte d'Ivoire,63.5,67.90983333333337,4.409833333333367
Qatar,76.7,80.74164224664227,4.041642246642269
"Congo, The Democratic Republic of the",61.6,65.52912976190481,3.929129761904811
United Arab Emirates,78.3,82.00299104326484,3.702991043264845
Lao People's Democratic Republic,68.2,71.90272672148834,3.7027267214883324
Mozambique,57.7,61.377507936508046,3.677507936508043
Egypt,69.1,72.21119908424909,3.111199084249094
Uganda,66.0,69.07780952380958,3.0778095238095773
Ghana,66.1,69.10725844155846,3.007258441558463
"Moldova, Republic of",69.6,72.48243936996381,2.8824393699638193
Malawi,62.5,65.37774074074082,2.877740740740819
Somalia,54.0,56.874,2.8740000000000023
Burkina Faso,62.3,65.1516952380953,2.851695238095303
"Tanzania, United Republic of",66.8,69.62127081111666,2.821270811116662
Cambodia,68.9,71.71252998784843,2.8125299878484213
Seychelles,74.0,76.80379642857146,2.8037964285714594
Lesotho,51.5,54.228409999999904,2.7284099999999043
Burundi,64.0,66.65177169312163,2.6517716931216313
Guinea,61.3,63.918708333333406,2.6187083333334087
Benin,64.0,66.41333333333328,2.4133333333332843
Antigua and Barbuda,76.9,79.28666269841261,2.386662698412607
Mali,61.7,63.98554807692305,2.2855480769230496
Zambia,61.0,63.269333333333364,2.269333333333364
Chad,59.1,61.32249037444041,2.2224903744404116
Zimbabwe,58.5,60.71866666666667,2.218666666666671
Bhutan,74.9,76.98978809523813,2.08978809523812
Rwanda,67.5,69.48052328637728,1.9805232863772773
Djibouti,64.9,66.86383641451147,1.9638364145114622
Georgia,71.2,73.05362333229931,1.853623332299307
Grenada,72.8,74.64504317330814,1.8450431733081416
China,77.6,79.41527007469652,1.815270074696528
Mongolia,70.1,71.89694985569986,1.7969498556998644
Gabon,65.1,66.79644040404035,1.6964404040403593
Guinea-Bissau,58.6,60.285333333333305,1.685333333333304
Turkmenistan,69.1,70.71129017005656,1.611290170056563
Slovenia,80.4,81.96618650983523,1.5661865098352195
Bosnia and Herzegovina,74.8,76.34870039682544,1.5487003968254385
Myanmar,67.8,69.34280866168692,1.5428086616869194
Dominican Republic,73.3,74.83992654839209,1.5399265483920885
Nigeria,63.4,64.8959999999999,1.4959999999999027
Croatia,76.9,78.32525030663783,1.425250306637821
Viet Nam,73.8,75.17601706857967,1.3760170685796709
Honduras,69.0,70.35200000000007,1.352000000000075
"Micronesia, Federated States of",65.7,67.0246,1.3246000000000038
Congo,63.2,64.50814103313847,1.3081410331384689
Eritrea,63.6,64.87540505430249,1.2754050543024888
Kazakhstan,70.3,71.56075000000001,1.2607500000000158
Saudi Arabia,76.4,77.63643386243386,1.2364338624338558
Afghanistan,59.1,60.31033333333329,1.2103333333332884
Equatorial Guinea,61.6,62.77887500000002,1.1788750000000192
Nepal,70.0,71.16741795257407,1.1674179525740698
Jamaica,70.1,71.26457781938862,1.1645778193886258
Germany,80.5,81.65170329670326,1.1517032967032605
Austria,81.0,82.14088182003198,1.1408818200319786
Estonia,77.1,78.22403968253981,1.1240396825398165
Russian Federation,70.0,71.10288888888883,1.1028888888888275
Timor-Leste,68.0,69.0910603174604,1.0910603174604034
Netherlands,81.1,82.15203615828621,1.0520361582862137
Mauritania,68.9,69.94644232827055,1.046442328270544
Hungary,74.4,75.4044162945985,1.0044162945984993
Haiti,62.5,63.4113539562289,0.9113539562289006
Solomon Islands,64.8,65.6823333333334,0.8823333333334062
Belarus,73.1,73.95970777947555,0.8597077794755563
Libya,72.2,73.0335640182711,0.8335640182710904
Belgium,81.5,82.31027485569979,0.8102748556997881
Ethiopia,67.8,68.57498055555571,0.7749805555557145
Kyrgyzstan,72.2,72.93602789677065,0.7360278967706506
India,67.3,68.02166666666666,0.721666666666664
Niger,60.0,60.713222222222214,0.713222222222214
Denmark,81.2,81.89643293650795,0.6964329365079465
Israel,81.7,82.36045030303038,0.6604503030303732
Botswana,61.2,61.83566666666668,0.6356666666666797
Oman,72.5,73.11151154035032,0.6115115403503211
Ireland,81.6,82.17271190476183,0.5727119047618316
Samoa,70.3,70.85619444444451,0.5561944444445146
Slovakia,74.5,75.0431710763093,0.5431710763093065
Morocco,72.6,73.09035835244921,0.49035835244922055
Gambia,64.2,64.68347420634926,0.483474206349257
Namibia,60.4,60.88166666666662,0.4816666666666194
Greece,79.6,80.0060115915811,0.40601159158110534
Sao Tome and Principe,71.2,71.53783208020042,0.337832080200414
Serbia,72.8,73.09402355223222,0.2940235522322183
"Korea, Democratic People's Republic of",72.6,72.84960585690305,0.24960585690305948
Sri Lanka,77.2,77.44186121933626,0.2418612193362577
Argentina,74.6,74.80212426167564,0.20212426167564956
Kiribati,60.9,61.09541013071891,0.195410130718912
Madagascar,62.9,63.082648148148124,0.18264814814812524
Czechia,77.1,77.26466666666671,0.1646666666667187
Comoros,67.5,67.65269047619053,0.15269047619052856
Poland,75.4,75.53805374949549,0.13805374949548366
Romania,72.8,72.87553886377155,0.0755388637715555
Finland,81.5,81.57253934583932,0.0725393458393171
Italy,82.2,82.26525721500731,0.06525721500730697
Vanuatu,66.3,66.36513888888891,0.06513888888891017
Guyana,66.1,66.09766666666665,-0.0023333333333397377
Malta,81.8,81.78441684149199,-0.015583158508007955
Japan,82.8,82.76899999999964,-0.031000000000361183
Pakistan,66.0,65.89329067460321,-0.10670932539679256
Barbados,76.8,76.69199999999998,-0.1080000000000183
Switzerland,82.8,82.69193333333307,-0.10806666666692877
Tonga,72.7,72.58019295889315,-0.11980704110685281
Malaysia,72.8,72.6736029909643,-0.12639700903569917
Uruguay,75.0,74.8543515348283,-0.14564846517170338
"Korea, Republic of",82.8,82.64506666666648,-0.154933333333517
Cabo Verde,73.2,73.00957104109466,-0.1904289589053434
Portugal,81.2,80.97716950603859,-0.22283049396141053
Senegal,67.8,67.5239318253969,-0.27606817460309685
Saint Lucia,71.1,70.78016666666659,-0.31983333333340624
Luxembourg,82.8,82.47963873404385,-0.32036126595615144
South Africa,61.5,61.17533333333327,-0.3246666666667295
Spain,82.7,82.34132188552191,-0.3586781144780957
Papua New Guinea,65.5,65.11650714285713,-0.38349285714286907
Cyprus,81.9,81.5126985560736,-0.387301443926404
Singapore,82.8,82.40805903318908,-0.39194096681092105
Tunisia,74.1,73.69914353613599,-0.4008564638640024
Australia,82.8,82.3868636363637,-0.4131363636362977
Azerbaijan,72.9,72.45790692395869,-0.4420930760413171
Bulgaria,71.3,70.85599999999995,-0.44400000000004525
Bangladesh,73.1,72.62392496377885,-0.4760750362211468
Angola,62.1,61.590666666666706,-0.509333333333295
France,81.9,81.37258333333334,-0.5274166666666673
Norway,82.8,82.26480833333311,-0.5351916666668899
Ukraine,70.9,70.3563333333333,-0.5436666666667094
Cuba,73.7,73.14634534329397,-0.5536546567060299
Sweden,82.7,82.14241025641022,-0.5575897435897872
Nauru,72.2,71.62850000000002,-0.5714999999999861
Iceland,82.6,81.9326684343435,-0.6673315656564967
Tuvalu,72.2,71.52662500000007,-0.6733749999999361
New Zealand,82.2,81.50422694902564,-0.6957730509743669
Belize,73.3,72.59982907752479,-0.7001709224752091
Saint Kitts and Nevis,72.2,71.49724771241839,-0.7027522875816175
Latvia,73.2,72.47346082363828,-0.7265391763617259
"Palestine, State of",73.5,72.7506102298301,-0.7493897701698984
United Kingdom,80.1,79.32207967101338,-0.7779203289866103
Mauritius,73.4,72.5464938864616,-0.8535061135384012
Andorra,72.2,71.26843333333343,-0.9315666666665692
Cook Islands,72.2,71.26726184371182,-0.9327381562881811
North Macedonia,73.0,72.03110588972442,-0.9688941102755848
Sudan,67.6,66.60888888888893,-0.9911111111110671
Montenegro,74.7,73.64963447570949,-1.0503655242905126
Chile,79.0,77.94202106316624,-1.0579789368337629
Saint Vincent and the Grenadines,72.6,71.48866498316504,-1.111335016834957
Niue,72.2,71.05218166168632,-1.1478183383136837
Lithuania,74.1,72.93941242236022,-1.1605875776397738
Bahrain,74.4,73.18448888888894,-1.21551111111107
Tajikistan,71.8,70.53866466857272,-1.2613353314272757
Kuwait,79.0,77.71588383838377,-1.2841161616162253
Indonesia,68.3,66.98433333333332,-1.3156666666666723
Philippines,66.4,65.00425254930254,-1.3957474506974705
Marshall Islands,72.2,70.79689950659373,-1.4031004934062707
Suriname,69.8,68.34916666666658,-1.4508333333334207
Canada,81.6,80.14458043345527,-1.4554195665447196
"Venezuela, Bolivarian Republic of",71.2,69.727811706931,-1.4721882930689958
Colombia,74.5,72.92901371791795,-1.5709862820820462
Lebanon,74.3,72.72812912619067,-1.5718708738093312
Brazil,72.4,70.80766666666665,-1.5923333333333574
Brunei Darussalam,76.9,75.23611538461546,-1.6638846153845464
Palau,72.2,70.51547955491942,-1.6845204450805795
Guatemala,68.7,66.92650105820105,-1.7734989417989482
Albania,76.4,74.61001666666661,-1.7899833333333959
Panama,77.2,75.38371944577595,-1.8162805542240505
Jordan,75.6,73.7128891626336,-1.887110837366393
Paraguay,70.3,68.40433333333328,-1.8956666666667132
Armenia,73.0,71.06555555555553,-1.9344444444444662
"Iran, Islamic Republic of",74.7,72.72535187735099,-1.9746481226490147
El Salvador,71.7,69.61166666666651,-2.0883333333334946
Yemen,65.8,63.603962962963024,-2.196037037036973
Algeria,76.0,73.77977103082094,-2.220228969179061
Fiji,65.5,63.26372222222223,-2.2362777777777723
Central African Republic,52.3,50.00448666666655,-2.295513333333446
Dominica,72.2,69.7823691344561,-2.4176308655438987
Nicaragua,75.0,71.99957179487181,-3.0004282051281876
Bahamas,70.4,67.08583333333327,-3.314166666666736
Ecuador,74.0,70.61325000000005,-3.3867499999999495
United States,76.4,72.87063742362442,-3.52936257637559
Thailand,75.3,71.33233333333335,-3.967666666666645
Trinidad and Tobago,71.7,67.72418055555544,-3.975819444444568
Mexico,70.8,66.76166666666659,-4.038333333333412
Costa Rica,78.6,73.55692120382025,-5.043078796179742
"Bolivia, Plurinational State of",65.4,57.539666666666704,-7.860333333333301
Peru,71.7,63.19966666666662,-8.50033333333338
