ISO3,Country,avg_life_expectancy,avg_gdp_per_capita,avg_u5_mortality,avg_infant_deaths
JPN,Japan,82.57727272727273,33692.12738326682,3.2954545454545454,2526.7272727272725
CHE,Switzerland,81.86363636363636,76692.01051541323,4.636363636363637,312.90909090909093
AUS,Australia,81.69545454545454,53869.838628079284,4.781818181818182,1133.3181818181818
ISL,Iceland,81.53181818181818,51434.2056564304,2.9272727272727277,9.818181818181818
ITA,Italy,81.48636363636363,32128.415449784443,4.0,1766.8181818181818
SGP,Singapore,81.4590909090909,49112.897947183024,2.9,104.27272727272727
ESP,Spain,81.34545454545454,26029.9101786849,4.0,1406.5
SWE,Sweden,81.2090909090909,48333.0605710498,3.1954545454545453,277.04545454545456
FRA,France,81.02727272727272,35895.099878813904,4.445454545454545,2557.7272727272725
LUX,Luxembourg,81.02727272727272,77559.613938995,3.1045454545454545,14.590909090909092
NOR,Norway,80.94090909090909,73632.10171289816,3.4045454545454548,157.5909090909091
ISR,Israel,80.89090909090909,33771.72656446242,4.745454545454546,582.3181818181819
CAN,Canada,80.83636363636364,41915.8759599638,5.677272727272728,1781.0
CYP,Cyprus,80.8,25287.673384232956,3.9,42.04545454545455
NZL,New Zealand,80.57272727272726,36581.670057311385,6.090909090909091,297.6363636363636
MLT,Malta,80.39999999999999,22297.61574656028,6.745454545454546,24.59090909090909
NLD,Netherlands,80.36363636363636,44851.64041303012,4.7,741.5454545454545
KOR,"Korea, Republic of",80.33636363636364,26582.86730876501,4.536363636363636,1627.8636363636363
AUT,Austria,80.25,42889.03675102601,4.295454545454546,284.1363636363636
KWT,Kuwait,80.08636363636364,32630.82136597604,10.490909090909092,465.8636363636364
ARE,United Arab Emirates,79.98181818181818,47580.0535134194,8.504545454545454,511.72727272727275
GRC,Greece,79.97272727272728,19911.284170388953,4.472727272727273,387.6363636363636
FIN,Finland,79.97272727272728,43120.850248921015,3.1772727272727277,140.22727272727272
DEU,Germany,79.91818181818182,39557.762711261195,4.309090909090909,2579.409090909091
IRL,Ireland,79.9090909090909,55665.80057746486,4.559090909090909,248.1818181818182
BEL,Belgium,79.86818181818181,39786.22795668772,4.590909090909091,454.0
GBR,United Kingdom,79.78636363636363,43765.1213058327,5.240909090909091,3358.0
CRI,Costa Rica,79.73636363636363,10431.53232845422,10.431818181818182,641.2727272727273
PRT,Portugal,79.50909090909092,19574.534361601214,4.295454545454546,339.90909090909093
DNK,Denmark,79.29545454545455,52894.21006001314,4.3954545454545455,232.77272727272728
SVN,Slovenia,79.04545454545455,20411.22905766334,3.477272727272727,54.95454545454545
CHL,Chile,79.0409090909091,11668.691554124904,8.513636363636364,1709.590909090909
USA,United States,77.91363636363636,54274.54698434327,7.322727272727272,24672.227272727272
PER,Peru,77.67727272727274,5098.673071479441,22.568181818181817,10884.363636363636
CUB,Cuba,77.58181818181818,6439.935073517961,6.831818181818182,670.3181818181819
LBN,Lebanon,77.57272727272726,7448.069687690493,14.613636363636363,1255.409090909091
CZE,Czechia,77.29545454545455,16712.112799944123,3.7363636363636363,317.3181818181818
PAN,Panama,77.26818181818182,11149.478687146888,19.295454545454547,1138.3636363636363
NIC,Nicaragua,76.80454545454546,1806.9876722968634,24.013636363636362,2613.8636363636365
HRV,Croatia,76.74090909090908,12147.798233426192,5.890909090909091,200.0909090909091
BIH,Bosnia and Herzegovina,76.62272727272727,4089.0751857871655,7.204545454545454,225.0
BRN,Brunei Darussalam,76.52272727272727,33639.01143112343,9.781818181818181,53.0
ALB,Albania,76.23636363636363,3622.7642460293287,15.013636363636364,450.6818181818182
URY,Uruguay,76.21818181818182,14312.038679918496,11.340909090909092,462.40909090909093
JOR,Jordan,76.13636363636364,4099.673183502399,19.10909090909091,3328.5
TUN,Tunisia,75.98181818181818,3663.8361414481724,20.05,3228.5
