Year,mean,std,min,max
2000,67.11946875,9.495865068658027,46.823,81.5
2001,67.431046875,9.444992421699384,46.823,81.8
2002,67.64655208333333,9.374513262472238,46.823,82.1
2003,67.90829166666667,9.263596633873554,46.823,82.1
2004,68.235375,9.138714107821876,46.823,82.4
2005,68.59422916666666,8.948785205783494,46.823,82.2
2006,69.02912500000001,8.794734398270688,46.823,82.6
2007,69.37940625,8.593093668606649,46.823,82.8
2008,69.68878124999999,8.44301814872806,46.823,82.8
2009,70.07980729166667,8.251961671227154,46.823,82.8
2010,70.38044791666667,8.284343544022565,46.823,82.8
2011,70.753765625,8.045334932115109,46.823,82.8
2012,71.04270833333334,7.8690559023345505,49.0,82.8
2013,71.35312499999999,7.7585750989112094,49.0,82.8
2014,71.50052083333334,7.75001096027486,48.7,82.8
2015,71.671875,7.5656249763468,48.8,82.8
2016,71.925,7.437192512012378,49.9,82.8
2017,72.15833333333333,7.333215927982917,51.1,82.8
2018,72.38437499999999,7.211165399130193,51.6,82.8
2019,72.57447916666666,7.0767834219833174,51.8,82.8
2020,71.996875,6.874704420109594,51.9,82.8
2021,71.23958333333333,6.93518201373978,51.5,82.8
