Year,mean_error,mean_abs_error,n
2018,0.14494716107214312,0.35071890055768806,192
2019,0.15143422926779534,0.4487516946546251,192
2020,-0.14400218344238,0.5840097490052805,192
2021,-0.21075537867824415,0.7034428105428114,192
