Country,ISO3,proj_le,Scenario
Rwanda,RWA,69.48052328637728,baseline
Saint Kitts and Nevis,KNA,71.49724771241839,baseline
Saint Lucia,LCA,70.78016666666659,baseline
Saint Vincent and the Grenadines,VCT,71.48866498316504,baseline
Samoa,WSM,70.85619444444451,baseline
Sao Tome and Principe,STP,71.53783208020042,baseline
Saudi Arabia,SAU,77.63643386243386,baseline
Senegal,SEN,67.5239318253969,baseline
Serbia,SRB,73.09402355223222,baseline
Seychelles,SYC,76.80379642857146,baseline
Sierra Leone,SLE,67.9584444444444,baseline
Singapore,SGP,82.40805903318908,baseline
Slovakia,SVK,75.0431710763093,baseline
Slovenia,SVN,81.96618650983523,baseline
Solomon Islands,SLB,65.6823333333334,baseline
Somalia,SOM,56.874,baseline
South Africa,ZAF,61.17533333333327,baseline
South Sudan,SSD,66.722,baseline
Spain,ESP,82.34132188552191,baseline
Sri Lanka,LKA,77.44186121933626,baseline
Sudan,SDN,66.60888888888893,baseline
Suriname,SUR,68.34916666666658,baseline
Sweden,SWE,82.14241025641022,baseline
Switzerland,CHE,82.69193333333307,baseline
Syrian Arab Republic,SYR,81.41266666666662,baseline
Tajikistan,TJK,70.53866466857272,baseline
"Tanzania, United Republic of",TZA,69.62127081111666,baseline
Thailand,THA,71.33233333333335,baseline
Timor-Leste,TLS,69.0910603174604,baseline
Togo,TGO,68.49655187908512,baseline
Tonga,TON,72.58019295889315,baseline
Trinidad and Tobago,TTO,67.72418055555544,baseline
Tunisia,TUN,73.69914353613599,baseline
Turkmenistan,TKM,70.71129017005656,baseline
Tuvalu,TUV,71.52662500000007,baseline
Uganda,UGA,69.07780952380958,baseline
Ukraine,UKR,70.3563333333333,baseline
United Arab Emirates,ARE,82.00299104326484,baseline
United Kingdom,GBR,79.32207967101338,baseline
United States,USA,72.87063742362442,baseline
Uruguay,URY,74.8543515348283,baseline
Uzbekistan,UZB,77.13966666666664,baseline
Vanuatu,VUT,66.36513888888891,baseline
"Venezuela, Bolivarian Republic of",VEN,69.727811706931,baseline
Viet Nam,VNM,75.17601706857967,baseline
Yemen,YEM,63.603962962963024,baseline
Zambia,ZMB,63.269333333333364,baseline
Zimbabwe,ZWE,60.71866666666667,baseline
Afghanistan,AFG,61.25966666666663,optimistic
Albania,ALB,77.8407902894491,optimistic
Algeria,DZA,76.61040811965816,optimistic
Andorra,AND,71.39398888888887,optimistic
Angola,AGO,64.16183345991244,optimistic
Antigua and Barbuda,ATG,79.76563888888903,optimistic
Argentina,ARG,75.51357833632036,optimistic
Armenia,ARM,73.07153539064254,optimistic
Australia,AUS,82.402,optimistic
Austria,AUT,82.33798476430977,optimistic
Azerbaijan,AZE,73.6027188787254,optimistic
Bahamas,BHS,67.84083333333324,optimistic
Bahrain,BHR,74.15279166666657,optimistic
Bangladesh,BGD,73.04308970658963,optimistic
Barbados,BRB,78.77539141414144,optimistic
Belarus,BLR,73.41634444444459,optimistic
Belgium,BEL,82.25372334054833,optimistic
Belize,BLZ,72.68739510582017,optimistic
Benin,BEN,67.34946904761908,optimistic
Bhutan,BTN,77.64069895382391,optimistic
"Bolivia, Plurinational State of",BOL,61.68133333333329,optimistic
Bosnia and Herzegovina,BIH,76.75066666666669,optimistic
Botswana,BWA,62.03166666666665,optimistic
Brazil,BRA,72.38223860398858,optimistic
Brunei Darussalam,BRN,75.941,optimistic
Bulgaria,BGR,71.58455555555554,optimistic
Burkina Faso,BFA,65.87044603174601,optimistic
Burundi,BDI,69.33766666666672,optimistic
Cabo Verde,CPV,73.16460110826135,optimistic
Cambodia,KHM,71.95493062517413,optimistic
Cameroon,CMR,70.89771111111104,optimistic
Canada,CAN,80.51640328282832,optimistic
Central African Republic,CAF,50.13115333333324,optimistic
Chad,TCD,62.64591788766803,optimistic
Chile,CHL,78.32428325652843,optimistic
China,CHN,79.70520000000002,optimistic
Colombia,COL,74.01980184205823,optimistic
Comoros,COM,69.24524373015883,optimistic
Congo,COG,64.92343574213317,optimistic
"Congo, The Democratic Republic of the",COD,66.25223835978838,optimistic
Cook Islands,COK,71.55605833333335,optimistic
Costa Rica,CRI,74.17419232385464,optimistic
Croatia,HRV,78.65535209235212,optimistic
Cuba,CUB,73.73590539828898,optimistic
Cyprus,CYP,82.16659134106642,optimistic
Czechia,CZE,77.66444615384614,optimistic
Côte d'Ivoire,CIV,71.55911585742952,optimistic
Denmark,DNK,82.45448540071037,optimistic
Djibouti,DJI,67.29605160210167,optimistic
Dominica,DMA,71.29201218340941,optimistic
Dominican Republic,DOM,75.25281653439158,optimistic
Ecuador,ECU,72.47309514887633,optimistic
Egypt,EGY,72.31271774684762,optimistic
El Salvador,SLV,70.48299999999999,optimistic
Equatorial Guinea,GNQ,63.64731666666664,optimistic
Eritrea,ERI,66.65788888888888,optimistic
Estonia,EST,78.57864972527477,optimistic
Eswatini,SWZ,61.48933333333327,optimistic
Ethiopia,ETH,70.08054444444451,optimistic
Fiji,FJI,64.8980087846935,optimistic
Finland,FIN,81.92630440115427,optimistic
France,FRA,81.53805555555545,optimistic
Gabon,GAB,67.33905151515144,optimistic
Gambia,GMB,66.23588888888897,optimistic
Georgia,GEO,73.13530003213886,optimistic
Germany,DEU,82.15025793650778,optimistic
Ghana,GHA,71.14041383804398,optimistic
Greece,GRC,80.11548381380331,optimistic
Grenada,GRD,75.51431111111116,optimistic
Guatemala,GTM,68.67333333333328,optimistic
Guinea,GIN,66.01733333333331,optimistic
Guinea-Bissau,GNB,60.646666666666675,optimistic
Guyana,GUY,66.79008333333333,optimistic
Haiti,HTI,64.4272445767195,optimistic
Honduras,HND,70.5293333333334,optimistic
Hungary,HUN,75.27799396344385,optimistic
Iceland,ISL,82.045121043771,optimistic
India,IND,69.28299999999984,optimistic
Indonesia,IDN,70.20666666666673,optimistic
"Iran, Islamic Republic of",IRN,73.42957560327596,optimistic
Iraq,IRQ,78.99199999999989,optimistic
Ireland,IRL,82.14871190476181,optimistic
Israel,ISR,82.37626919191922,optimistic
Italy,ITA,82.29514898989902,optimistic
Jamaica,JAM,71.72334938003252,optimistic
Japan,JPN,82.73266666666635,optimistic
Jordan,JOR,76.13902777777778,optimistic
Kazakhstan,KAZ,72.424848602567,optimistic
Kenya,KEN,79.05700000000002,optimistic
Kiribati,KIR,61.63410179738562,optimistic
"Korea, Democratic People's Republic of",PRK,73.23030534876551,optimistic
"Korea, Republic of",KOR,82.64273333333315,optimistic
Kuwait,KWT,78.741789251598,optimistic
Kyrgyzstan,KGZ,73.14858468145756,optimistic
Lao People's Democratic Republic,LAO,73.51501419992907,optimistic
Latvia,LVA,72.10026715686281,optimistic
Lebanon,LBN,73.14310797714037,optimistic
Lesotho,LSO,57.315666666666765,optimistic
Liberia,LBR,70.66300000000008,optimistic
Libya,LBY,73.14717535673607,optimistic
Lithuania,LTU,73.74365502645493,optimistic
Luxembourg,LUX,82.48363873404382,optimistic
Madagascar,MDG,63.16638703703707,optimistic
Malawi,MWI,66.83366666666666,optimistic
Malaysia,MYS,72.73937462991871,optimistic
Maldives,MDV,81.16327777777781,optimistic
Mali,MLI,65.6883483516484,optimistic
Malta,MLT,81.81231942876825,optimistic
Marshall Islands,MHL,71.63731559829051,optimistic
Mauritania,MRT,70.46800097708363,optimistic
Mauritius,MUS,72.71291197079226,optimistic
Mexico,MEX,68.48399999999992,optimistic
"Micronesia, Federated States of",FSM,67.34059999999997,optimistic
