Model,Feature_Set,Train_R2,Test_R2,R2_Gap,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,N_Features
Decision Tree (max_depth=10),baseline,0.9945344838792051,0.9770229017952782,0.01751158208392689,0.6354440207945007,1.0650137319156967,0.4660026562100399,0.7773411626704375,12
Linear Regression,baseline,0.9781027579863155,0.9679963598376689,0.010106398148646667,1.2719101027332689,1.2569190444833631,0.945723509444438,0.9851247480811008,12
DummyRegressor,baseline,0.0,-0.10500400213599392,0.10500400213599392,8.595313228160883,7.385663941276448,6.995823537567515,6.258575211136429,12
