Country,ISO3,Year,proj_le,Scenario
Bahrain,BHR,2027,74.01639999999995,baseline
Bahrain,BHR,2028,73.57706666666668,baseline
Bahrain,BHR,2029,73.45960000000002,baseline
Bahrain,BHR,2030,73.18448888888894,baseline
Bangladesh,BGD,2022,72.40186463337861,baseline
Bangladesh,BGD,2023,72.39878130004527,baseline
Bangladesh,BGD,2024,72.37518087269486,baseline
Bangladesh,BGD,2025,72.32938597129996,baseline
Bangladesh,BGD,2026,72.35486635280928,baseline
Bangladesh,BGD,2027,72.42501822871114,baseline
Bangladesh,BGD,2028,72.48032328628972,baseline
Bangladesh,BGD,2029,72.5617803986218,baseline
Bangladesh,BGD,2030,72.62392496377885,baseline
Barbados,BRB,2022,75.56963333333334,baseline
Barbados,BRB,2023,75.53971111111112,baseline
Barbados,BRB,2024,75.52944232804232,baseline
Barbados,BRB,2025,75.60558994708997,baseline
Barbados,BRB,2026,75.77239947089951,baseline
Barbados,BRB,2027,75.94937407407413,baseline
Barbados,BRB,2028,76.11791111111116,baseline
Barbados,BRB,2029,76.45324444444444,baseline
Barbados,BRB,2030,76.69199999999998,baseline
Belarus,BLR,2022,73.9858593986081,baseline
Belarus,BLR,2023,74.0068177319414,baseline
Belarus,BLR,2024,74.03184590654456,baseline
Belarus,BLR,2025,74.07730658687731,baseline
Belarus,BLR,2026,74.04172325354398,baseline
Belarus,BLR,2027,74.05203734685806,baseline
Belarus,BLR,2028,74.01831856378931,baseline
Belarus,BLR,2029,73.96241697648772,baseline
Belarus,BLR,2030,73.95970777947555,baseline
Belgium,BEL,2022,81.79853566715937,baseline
Belgium,BEL,2023,82.03074060943935,baseline
Belgium,BEL,2024,82.17675660728166,baseline
Belgium,BEL,2025,82.2473232073482,baseline
Belgium,BEL,2026,82.28664707792203,baseline
Belgium,BEL,2027,82.2863137445887,baseline
Belgium,BEL,2028,82.30409152236646,baseline
Belgium,BEL,2029,82.31444152236645,baseline
Belgium,BEL,2030,82.31027485569979,baseline
Belize,BLZ,2022,72.69634089026923,baseline
Belize,BLZ,2023,72.70307700138032,baseline
Belize,BLZ,2024,72.70306311249144,baseline
Belize,BLZ,2025,72.69839644582477,baseline
Belize,BLZ,2026,72.71844274212108,baseline
Belize,BLZ,2027,72.70339671037505,baseline
Belize,BLZ,2028,72.65173004370837,baseline
Belize,BLZ,2029,72.6457300437084,baseline
Belize,BLZ,2030,72.59982907752479,baseline
Benin,BEN,2022,63.8666369047619,baseline
Benin,BEN,2023,64.14096031746028,baseline
Benin,BEN,2024,64.44479365079368,baseline
Benin,BEN,2025,64.78000000000011,baseline
Benin,BEN,2026,64.9493333333334,baseline
Benin,BEN,2027,65.22200000000004,baseline
Benin,BEN,2028,66.03066666666665,baseline
Benin,BEN,2029,66.24466666666662,baseline
Benin,BEN,2030,66.41333333333328,baseline
Bhutan,BTN,2022,73.57501354761797,baseline
Bhutan,BTN,2023,73.5420464841259,baseline
Bhutan,BTN,2024,73.53102931240873,baseline
Bhutan,BTN,2025,74.15684294452834,baseline
Bhutan,BTN,2026,74.1850690883192,baseline
Bhutan,BTN,2027,74.44400242165251,baseline
Bhutan,BTN,2028,76.41394077186439,baseline
Bhutan,BTN,2029,76.82257063492067,baseline
Bhutan,BTN,2030,76.98978809523813,baseline
"Bolivia, Plurinational State of",BOL,2022,65.81353140096621,baseline
"Bolivia, Plurinational State of",BOL,2023,65.48778140096621,baseline
"Bolivia, Plurinational State of",BOL,2024,63.65964251207735,baseline
"Bolivia, Plurinational State of",BOL,2025,62.14499999999999,baseline
"Bolivia, Plurinational State of",BOL,2026,61.123666666666665,baseline
"Bolivia, Plurinational State of",BOL,2027,60.70766666666666,baseline
"Bolivia, Plurinational State of",BOL,2028,59.42566666666676,baseline
"Bolivia, Plurinational State of",BOL,2029,58.003333333333394,baseline
"Bolivia, Plurinational State of",BOL,2030,57.539666666666704,baseline
Bosnia and Herzegovina,BIH,2022,76.87335771565041,baseline
Bosnia and Herzegovina,BIH,2023,76.85549206349208,baseline
Bosnia and Herzegovina,BIH,2024,76.72960317460318,baseline
Bosnia and Herzegovina,BIH,2025,76.6923194444445,baseline
Bosnia and Herzegovina,BIH,2026,76.66273611111116,baseline
Bosnia and Herzegovina,BIH,2027,76.63156944444451,baseline
Bosnia and Herzegovina,BIH,2028,76.54956944444449,baseline
Bosnia and Herzegovina,BIH,2029,76.50206150793655,baseline
Bosnia and Herzegovina,BIH,2030,76.34870039682544,baseline
Botswana,BWA,2022,61.21799999999999,baseline
Botswana,BWA,2023,61.266999999999996,baseline
Botswana,BWA,2024,61.560666666666656,baseline
Botswana,BWA,2025,61.586333333333336,baseline
Botswana,BWA,2026,61.604666666666674,baseline
Botswana,BWA,2027,61.63166666666668,baseline
Botswana,BWA,2028,61.64300000000001,baseline
Botswana,BWA,2029,61.68100000000001,baseline
Botswana,BWA,2030,61.83566666666668,baseline
Brazil,BRA,2022,72.74376712683458,baseline
Brazil,BRA,2023,72.66194251940284,baseline
Brazil,BRA,2024,72.72742941346644,baseline
Brazil,BRA,2025,72.5109786522301,baseline
Brazil,BRA,2026,72.19442008547009,baseline
Brazil,BRA,2027,71.36633333333336,baseline
Brazil,BRA,2028,71.12566666666667,baseline
Brazil,BRA,2029,70.86383333333332,baseline
Brazil,BRA,2030,70.80766666666665,baseline
Brunei Darussalam,BRN,2022,73.80399999999996,baseline
Brunei Darussalam,BRN,2023,75.77999999999999,baseline
Brunei Darussalam,BRN,2024,75.40366666666668,baseline
Brunei Darussalam,BRN,2025,75.69166666666666,baseline
Brunei Darussalam,BRN,2026,75.71794871794873,baseline
Brunei Darussalam,BRN,2027,75.5036153846154,baseline
Brunei Darussalam,BRN,2028,75.51794871794876,baseline
Brunei Darussalam,BRN,2029,75.2777820512821,baseline
Brunei Darussalam,BRN,2030,75.23611538461546,baseline
Bulgaria,BGR,2022,72.6366374475326,baseline
Bulgaria,BGR,2023,72.56800560992576,baseline
Bulgaria,BGR,2024,72.36939394527043,baseline
Bulgaria,BGR,2025,72.0986634920635,baseline
Bulgaria,BGR,2026,71.373,baseline
Bulgaria,BGR,2027,71.13449999999997,baseline
Bulgaria,BGR,2028,70.99466666666656,baseline
Bulgaria,BGR,2029,71.06766666666658,baseline
Bulgaria,BGR,2030,70.85599999999995,baseline
Burkina Faso,BFA,2022,62.209657142857175,baseline
Burkina Faso,BFA,2023,62.42957380952385,baseline
Burkina Faso,BFA,2024,62.82510714285715,baseline
Burkina Faso,BFA,2025,63.187060846560804,baseline
Burkina Faso,BFA,2026,63.42969493746996,baseline
Burkina Faso,BFA,2027,63.91395530303037,baseline
Burkina Faso,BFA,2028,64.54009960317468,baseline
Burkina Faso,BFA,2029,64.76438478835986,baseline
Burkina Faso,BFA,2030,65.1516952380953,baseline
Burundi,BDI,2022,65.09108347953223,baseline
Burundi,BDI,2023,65.43285708463084,baseline
Burundi,BDI,2024,65.58292851320225,baseline
Burundi,BDI,2025,65.73576184653557,baseline
Burundi,BDI,2026,66.10957328042326,baseline
Burundi,BDI,2027,66.20624589947087,baseline
Burundi,BDI,2028,66.39228478835972,baseline
Burundi,BDI,2029,66.53745145502636,baseline
Burundi,BDI,2030,66.65177169312163,baseline
Cabo Verde,CPV,2022,73.28747398259888,baseline
Cabo Verde,CPV,2023,73.33153007362115,baseline
Cabo Verde,CPV,2024,73.35326416236269,baseline
Cabo Verde,CPV,2025,73.51800586276805,baseline
Cabo Verde,CPV,2026,73.17383320460068,baseline
Cabo Verde,CPV,2027,73.11906289625404,baseline
Cabo Verde,CPV,2028,73.17901655576513,baseline
Cabo Verde,CPV,2029,73.068327390301,baseline
Cabo Verde,CPV,2030,73.00957104109466,baseline
Cambodia,KHM,2022,69.37420861200003,baseline
Cambodia,KHM,2023,69.7536501824666,baseline
Cambodia,KHM,2024,69.80079575473059,baseline
Cambodia,KHM,2025,70.03751056411473,baseline
Cambodia,KHM,2026,70.16795145458623,baseline
Cambodia,KHM,2027,70.49405676964153,baseline
Cambodia,KHM,2028,70.9364708608643,baseline
Cambodia,KHM,2029,71.35865128414474,baseline
Cambodia,KHM,2030,71.71252998784843,baseline
Cameroon,CMR,2022,62.68266666666666,baseline
Cameroon,CMR,2023,63.01380033670039,baseline
Cameroon,CMR,2024,63.551280892255974,baseline
Cameroon,CMR,2025,64.22484638047143,baseline
Cameroon,CMR,2026,64.93405666278171,baseline
Cameroon,CMR,2027,65.4980325887077,baseline
Cameroon,CMR,2028,65.99122703315199,baseline
Cameroon,CMR,2029,66.46649191919194,baseline
Cameroon,CMR,2030,67.83733333333339,baseline
Canada,CAN,2022,80.72036526836447,baseline
Canada,CAN,2023,80.69871275513695,baseline
Canada,CAN,2024,80.51850479041642,baseline
Canada,CAN,2025,80.38738728771222,baseline
Canada,CAN,2026,80.32723675861172,baseline
Canada,CAN,2027,80.22805545117646,baseline
Canada,CAN,2028,80.18197767339866,baseline
Canada,CAN,2029,80.16743971043567,baseline
Canada,CAN,2030,80.14458043345527,baseline
Central African Republic,CAF,2022,49.923563333333206,baseline
Central African Republic,CAF,2023,49.9285633333332,baseline
Central African Republic,CAF,2024,49.93189666666655,baseline
Central African Republic,CAF,2025,49.936563333333226,baseline
Central African Republic,CAF,2026,49.97048666666655,baseline
Central African Republic,CAF,2027,49.98815333333322,baseline
Central African Republic,CAF,2028,49.999819999999886,baseline
Central African Republic,CAF,2029,50.037153333333215,baseline
Central African Republic,CAF,2030,50.00448666666655,baseline
Chad,TCD,2022,59.11680812890815,baseline
Chad,TCD,2023,59.38931778499279,baseline
Chad,TCD,2024,59.697782123432155,baseline
Chad,TCD,2025,60.010626038776074,baseline
Chad,TCD,2026,60.12651083916087,baseline
Chad,TCD,2027,60.53243154160659,baseline
Chad,TCD,2028,60.82570321067824,baseline
Chad,TCD,2029,61.12929550264557,baseline
Chad,TCD,2030,61.32249037444041,baseline
Chile,CHL,2022,78.35014672919671,baseline
Chile,CHL,2023,78.37099559419073,baseline
Chile,CHL,2024,78.57164321323837,baseline
Chile,CHL,2025,78.29295749895263,baseline
Chile,CHL,2026,78.23209083228595,baseline
Chile,CHL,2027,78.15035892992908,baseline
Chile,CHL,2028,78.03536752781271,baseline
Chile,CHL,2029,77.97261197225716,baseline
Chile,CHL,2030,77.94202106316624,baseline
China,CHN,2022,77.6804638888889,baseline
China,CHN,2023,78.73019166666673,baseline
China,CHN,2024,78.91978888888893,baseline
China,CHN,2025,78.93809047619052,baseline
China,CHN,2026,79.06071111111119,baseline
China,CHN,2027,79.28180555555564,baseline
China,CHN,2028,79.29486111111117,baseline
China,CHN,2029,79.39941666666665,baseline
China,CHN,2030,79.41527007469652,baseline
Colombia,COL,2022,73.69189709647218,baseline
Colombia,COL,2023,73.55305350767236,baseline
Colombia,COL,2024,73.60204092100216,baseline
Colombia,COL,2025,73.62099817436733,baseline
Colombia,COL,2026,73.56157916028798,baseline
Colombia,COL,2027,73.36555984088353,baseline
Colombia,COL,2028,73.26034629880509,baseline
Colombia,COL,2029,73.00945974966399,baseline
Colombia,COL,2030,72.92901371791795,baseline
Comoros,COM,2022,68.85059722222229,baseline
Comoros,COM,2023,69.41133365800873,baseline
Comoros,COM,2024,69.43138365800873,baseline
Comoros,COM,2025,69.15320039682548,baseline
Comoros,COM,2026,68.14410880952393,baseline
Comoros,COM,2027,67.88383232950635,baseline
Comoros,COM,2028,67.90583232950632,baseline
Comoros,COM,2029,67.8250238095239,baseline
Comoros,COM,2030,67.65269047619053,baseline
Congo,COG,2022,62.8742333333333,baseline
Congo,COG,2023,62.950899999999976,baseline
Congo,COG,2024,63.13339999999995,baseline
Congo,COG,2025,63.29456666666664,baseline
Congo,COG,2026,63.56983333333332,baseline
Congo,COG,2027,63.62716666666672,baseline
Congo,COG,2028,63.89597777777783,baseline
Congo,COG,2029,64.20114103313844,baseline
Congo,COG,2030,64.50814103313847,baseline
"Congo, The Democratic Republic of the",COD,2022,62.01648849206353,baseline
"Congo, The Democratic Republic of the",COD,2023,62.383426587301656,baseline
"Congo, The Democratic Republic of the",COD,2024,63.02250638401559,baseline
"Congo, The Democratic Republic of the",COD,2025,63.29987525252533,baseline
"Congo, The Democratic Republic of the",COD,2026,63.85925422077922,baseline
"Congo, The Democratic Republic of the",COD,2027,64.21035648148158,baseline
"Congo, The Democratic Republic of the",COD,2028,64.59069074074084,baseline
"Congo, The Democratic Republic of the",COD,2029,65.180849928775,baseline
"Congo, The Democratic Republic of the",COD,2030,65.52912976190481,baseline
Cook Islands,COK,2022,71.68683611111129,baseline
Cook Islands,COK,2023,71.69558762626266,baseline
Cook Islands,COK,2024,71.70025429292933,baseline
Cook Islands,COK,2025,71.656920959596,baseline
Cook Islands,COK,2026,71.64225429292934,baseline
Cook Islands,COK,2027,71.50395058922567,baseline
Cook Islands,COK,2028,71.45029536944543,baseline
Cook Islands,COK,2029,71.36743644688644,baseline
Cook Islands,COK,2030,71.26726184371182,baseline
Costa Rica,CRI,2022,77.41984868464868,baseline
Costa Rica,CRI,2023,77.18478201798204,baseline
Costa Rica,CRI,2024,76.68549422142974,baseline
Costa Rica,CRI,2025,74.14237261393498,baseline
Costa Rica,CRI,2026,74.05146150282384,baseline
Costa Rica,CRI,2027,73.97568921030151,baseline
Costa Rica,CRI,2028,73.86814057403211,baseline
Costa Rica,CRI,2029,73.60577184866904,baseline
Costa Rica,CRI,2030,73.55692120382025,baseline
Croatia,HRV,2022,77.84054466374866,baseline
Croatia,HRV,2023,77.81320305154819,baseline
Croatia,HRV,2024,77.82300860710376,baseline
Croatia,HRV,2025,77.76136648949917,baseline
Croatia,HRV,2026,77.82493315616587,baseline
Croatia,HRV,2027,77.92288289161563,baseline
Croatia,HRV,2028,77.9848995582823,baseline
Croatia,HRV,2029,78.24141856060609,baseline
Croatia,HRV,2030,78.32525030663783,baseline
Cuba,CUB,2022,74.97842346515932,baseline
Cuba,CUB,2023,74.98445452910276,baseline
Cuba,CUB,2024,74.891840042747,baseline
Cuba,CUB,2025,74.70147439116278,baseline
Cuba,CUB,2026,73.85623504354741,baseline
Cuba,CUB,2027,73.608048693663,baseline
Cuba,CUB,2028,73.36142171185146,baseline
Cuba,CUB,2029,73.24823978262367,baseline
Cuba,CUB,2030,73.14634534329397,baseline
Cyprus,CYP,2022,82.07826121841136,baseline
Cyprus,CYP,2023,82.08526121841138,baseline
Cyprus,CYP,2024,82.1203731953233,baseline
Cyprus,CYP,2025,82.10437319532332,baseline
Cyprus,CYP,2026,81.70821471768981,baseline
Cyprus,CYP,2027,81.60761143486154,baseline
Cyprus,CYP,2028,81.57194476819487,baseline
Cyprus,CYP,2029,81.5289031015282,baseline
Cyprus,CYP,2030,81.5126985560736,baseline
Czechia,CZE,2022,78.48069567075433,baseline
Czechia,CZE,2023,78.32455567765564,baseline
Czechia,CZE,2024,78.28308901098902,baseline
Czechia,CZE,2025,77.72444615384615,baseline
Czechia,CZE,2026,77.64359999999999,baseline
Czechia,CZE,2027,77.55466666666668,baseline
Czechia,CZE,2028,77.36500000000004,baseline
Czechia,CZE,2029,77.30200000000005,baseline
Czechia,CZE,2030,77.26466666666671,baseline
Côte d'Ivoire,CIV,2022,63.452393518518534,baseline
Côte d'Ivoire,CIV,2023,64.05465918803417,baseline
Côte d'Ivoire,CIV,2024,64.46482702020202,baseline
Côte d'Ivoire,CIV,2025,65.08570568783065,baseline
Côte d'Ivoire,CIV,2026,65.48572895622888,baseline
Côte d'Ivoire,CIV,2027,65.72717340067338,baseline
Côte d'Ivoire,CIV,2028,66.41215117845108,baseline
Côte d'Ivoire,CIV,2029,67.23216666666661,baseline
Côte d'Ivoire,CIV,2030,67.90983333333337,baseline
Denmark,DNK,2022,82.19787051282067,baseline
Denmark,DNK,2023,82.2905587523588,baseline
Denmark,DNK,2024,82.33680875235876,baseline
Denmark,DNK,2025,82.38744016261516,baseline
Denmark,DNK,2026,82.3882734959485,baseline
Denmark,DNK,2027,82.38760682928184,baseline
Denmark,DNK,2028,82.36571794039293,baseline
Denmark,DNK,2029,82.35805127372626,baseline
Denmark,DNK,2030,81.89643293650795,baseline
Djibouti,DJI,2022,65.37236812169324,baseline
Djibouti,DJI,2023,65.55628179690692,baseline
Djibouti,DJI,2024,65.86192152754658,baseline
Djibouti,DJI,2025,66.26512986087991,baseline
Djibouti,DJI,2026,66.47896319421325,baseline
Djibouti,DJI,2027,66.58868184500687,baseline
Djibouti,DJI,2028,66.74119990657496,baseline
Djibouti,DJI,2029,66.80475546213053,baseline
Djibouti,DJI,2030,66.86383641451147,baseline
Dominica,DMA,2022,71.97514049523939,baseline
Dominica,DMA,2023,71.68806737821467,baseline
Dominica,DMA,2024,71.62562343882072,baseline
Dominica,DMA,2025,71.54522820072549,baseline
Dominica,DMA,2026,71.44056153405882,baseline
Dominica,DMA,2027,71.29437302997047,baseline
Dominica,DMA,2028,71.01555961430127,baseline
Dominica,DMA,2029,70.06522793075234,baseline
Dominica,DMA,2030,69.7823691344561,baseline
Dominican Republic,DOM,2022,73.65136454606132,baseline
Dominican Republic,DOM,2023,74.03789480302827,baseline
Dominican Republic,DOM,2024,74.31384405228071,baseline
Dominican Republic,DOM,2025,74.5365578466178,baseline
Dominican Republic,DOM,2026,74.70923830452689,baseline
Dominican Republic,DOM,2027,74.68419490548251,baseline
Dominican Republic,DOM,2028,74.75016848765642,baseline
Dominican Republic,DOM,2029,74.85257802393181,baseline
Dominican Republic,DOM,2030,74.83992654839209,baseline
Ecuador,ECU,2022,73.45634896356015,baseline
Ecuador,ECU,2023,73.35783576966502,baseline
Ecuador,ECU,2024,73.09969828431383,baseline
Ecuador,ECU,2025,72.86106753034554,baseline
Ecuador,ECU,2026,72.38829225514773,baseline
Ecuador,ECU,2027,72.20115482128523,baseline
Ecuador,ECU,2028,71.7184722222222,baseline
Ecuador,ECU,2029,70.89091666666673,baseline
Ecuador,ECU,2030,70.61325000000005,baseline
Egypt,EGY,2022,71.46732129629628,baseline
Egypt,EGY,2023,71.61826944444448,baseline
Egypt,EGY,2024,71.81110343137257,baseline
Egypt,EGY,2025,71.90607843137259,baseline
Egypt,EGY,2026,72.15646297243536,baseline
Egypt,EGY,2027,72.2248045150502,baseline
Egypt,EGY,2028,72.21304352869353,baseline
Egypt,EGY,2029,72.21971019536016,baseline
Egypt,EGY,2030,72.21119908424909,baseline
El Salvador,SLV,2022,70.561,baseline
El Salvador,SLV,2023,70.50099999999999,baseline
El Salvador,SLV,2024,70.43033333333335,baseline
El Salvador,SLV,2025,70.41733333333335,baseline
El Salvador,SLV,2026,70.38133333333337,baseline
El Salvador,SLV,2027,70.01466666666664,baseline
El Salvador,SLV,2028,69.8219999999999,baseline
El Salvador,SLV,2029,69.64999999999985,baseline
El Salvador,SLV,2030,69.61166666666651,baseline
Equatorial Guinea,GNQ,2022,61.32189091371594,baseline
Equatorial Guinea,GNQ,2023,61.36579369149371,baseline
Equatorial Guinea,GNQ,2024,61.36590655270656,baseline
Equatorial Guinea,GNQ,2025,61.19725734635732,baseline
Equatorial Guinea,GNQ,2026,61.17400186295185,baseline
Equatorial Guinea,GNQ,2027,61.438980169830174,baseline
Equatorial Guinea,GNQ,2028,61.43647000972882,baseline
Equatorial Guinea,GNQ,2029,61.78078513071901,baseline
Equatorial Guinea,GNQ,2030,62.77887500000002,baseline
Eritrea,ERI,2022,63.773098376623444,baseline
Eritrea,ERI,2023,64.05366504329007,baseline
Eritrea,ERI,2024,64.40320902255642,baseline
Eritrea,ERI,2025,64.69079764689505,baseline
Eritrea,ERI,2026,64.73065320245061,baseline
Eritrea,ERI,2027,64.76981986911728,baseline
Eritrea,ERI,2028,64.79648653578397,baseline
Eritrea,ERI,2029,64.80846113895858,baseline
Eritrea,ERI,2030,64.87540505430249,baseline
Estonia,EST,2022,77.41592683150193,baseline
Estonia,EST,2023,77.45741849816858,baseline
Estonia,EST,2024,77.53702960927971,baseline
Estonia,EST,2025,77.6300296092797,baseline
Estonia,EST,2026,78.00816955266968,baseline
Estonia,EST,2027,78.08639682539696,baseline
Estonia,EST,2028,78.16217460317475,baseline
Estonia,EST,2029,78.17142063492078,baseline
Estonia,EST,2030,78.22403968253981,baseline
Eswatini,SWZ,2022,54.57299999999984,baseline
Eswatini,SWZ,2023,55.86899999999993,baseline
Eswatini,SWZ,2024,56.350999999999985,baseline
Eswatini,SWZ,2025,56.58733333333331,baseline
Eswatini,SWZ,2026,57.28600000000006,baseline
Eswatini,SWZ,2027,57.41433333333339,baseline
Eswatini,SWZ,2028,57.75333333333341,baseline
Eswatini,SWZ,2029,58.06733333333341,baseline
Eswatini,SWZ,2030,59.18900000000005,baseline
Ethiopia,ETH,2022,67.66063888888901,baseline
Ethiopia,ETH,2023,67.96300000000004,baseline
Ethiopia,ETH,2024,68.17233333333343,baseline
Ethiopia,ETH,2025,68.4610611111112,baseline
Ethiopia,ETH,2026,68.49032777777786,baseline
Ethiopia,ETH,2027,68.52566111111122,baseline
Ethiopia,ETH,2028,68.54816111111123,baseline
Ethiopia,ETH,2029,68.56759166666683,baseline
Ethiopia,ETH,2030,68.57498055555571,baseline
Fiji,FJI,2022,65.489136955637,baseline
Fiji,FJI,2023,65.42647028897032,baseline
Fiji,FJI,2024,65.14256286496999,baseline
Fiji,FJI,2025,64.97414263889975,baseline
Fiji,FJI,2026,64.72450684500677,baseline
Fiji,FJI,2027,64.46768806193806,baseline
Fiji,FJI,2028,64.15506962759456,baseline
Fiji,FJI,2029,63.56713888888885,baseline
Fiji,FJI,2030,63.26372222222223,baseline
Finland,FIN,2022,81.08185962093462,baseline
Finland,FIN,2023,81.07930406537908,baseline
Finland,FIN,2024,81.14536221833723,baseline
Finland,FIN,2025,81.25467432752436,baseline
Finland,FIN,2026,81.2510076608577,baseline
Finland,FIN,2027,81.24480210530216,baseline
Finland,FIN,2028,81.55121394901394,baseline
Finland,FIN,2029,81.55387982202981,baseline
Finland,FIN,2030,81.57253934583932,baseline
France,FRA,2022,81.6974111111113,baseline
France,FRA,2023,81.62260000000016,baseline
France,FRA,2024,81.54232777777794,baseline
France,FRA,2025,81.40021666666678,baseline
France,FRA,2026,81.3942166666668,baseline
France,FRA,2027,81.38421666666677,baseline
France,FRA,2028,81.41166111111119,baseline
