target_quantile_bin,mean_error,mean_abs_error,n
"(51.499, 65.4]",0.0019467595893911584,0.4195681859874282,155
"(65.4, 71.5]",-0.20488695984530245,0.5368231071246238,153
"(71.5, 74.1]",0.03844338453348869,0.4918383100692998,157
"(74.1, 77.9]",-0.04671617133888636,0.7374691183961022,150
"(77.9, 82.8]",0.13601010762849267,0.4293023467685241,153
