comparison,model,feature_set,test_r2,test_rmse,test_mae
best_baseline,Decision Tree (max_depth=10),baseline,0.9770229017952782,1.0650137319156967,0.7773411626704375
best_overall,"Random Forest (n_estimators=300, max_depth=15)",log_enhanced,0.9884790153602158,0.7541407630445219,0.5217307886901016
