Country,Year,alcohol_per_capita_15plus,che_pct_gdp,dtp3_coverage_pct,gdp_per_capita_2015usd,hepb3_coverage_pct,log_gdp_per_capita_2015usd,overweight_adults_pct,pol3_coverage_pct,thinness_children_adolescents_pct,underweight_adults_pct,pred_life_expectancy
Afghanistan,2022,0.0,18.37608000000091,55.099999999999454,421.96992323982704,55.099999999999454,6.047116217929272,48.650000000000546,54.79999999999927,7.849999999999909,6.029999999999745,59.58399999999996
Afghanistan,2023,0.0,19.51260000000093,52.599999999998545,388.6121197362081,52.599999999998545,5.978564441059376,50.28000000000111,52.39999999999782,7.519999999999868,5.559999999999604,58.44622999999996
Afghanistan,2024,0.0,20.64912000000095,50.099999999997635,355.25431623257464,50.099999999997635,5.91001266418948,51.91000000000122,49.99999999999727,7.189999999999827,5.089999999999577,58.110149999999955
Afghanistan,2025,0.0,21.785640000001422,47.599999999996726,321.8965127289557,47.599999999996726,5.841460887319613,53.54000000000178,47.599999999996726,6.859999999999786,4.619999999999436,57.64306999999996
Albania,2022,4.93000000000001,7.720000000000141,97.69999999999982,5565.527051374607,97.69999999999982,8.627589637433296,62.10000000000002,97.69999999999982,2.829999999999984,1.6300000000000239,75.97100000000002
Albania,2023,4.920000000000012,7.980000000000246,97.39999999999964,5746.911704845028,97.39999999999964,8.663419895230668,62.500000000000114,97.39999999999964,2.980000000000018,1.6600000000000321,75.90300000000002
Albania,2024,4.910000000000014,8.240000000000236,97.09999999999957,5928.296358315449,97.09999999999957,8.699250153028053,62.900000000000205,97.09999999999957,3.1300000000000523,1.6900000000000404,75.81800000000003
Albania,2025,4.900000000000016,8.500000000000341,96.7999999999995,6109.6810117858695,96.7999999999995,8.73508041082544,63.300000000000296,96.7999999999995,3.2800000000000864,1.7200000000000486,75.431
Algeria,2022,0.4999999999999999,4.946999999999889,78.89999999999873,4312.912326314603,78.89999999999873,8.370749293786439,57.620000000000346,78.89999999999873,3.9699999999999918,4.499999999999972,73.14699999999999
Algeria,2023,0.4999999999999999,4.731999999999857,76.199999999998,4220.349725439242,76.199999999998,8.350522071993673,58.30000000000041,76.199999999998,3.9399999999999835,4.399999999999949,72.733
Algeria,2024,0.49999999999999994,4.516999999999825,73.49999999999727,4127.787124563882,73.49999999999727,8.330294850200914,58.98000000000047,73.49999999999727,3.9099999999999753,4.299999999999926,71.52000000000004
Algeria,2025,0.49999999999999994,4.301999999999737,70.79999999999654,4035.224523688521,70.79999999999654,8.310067628408149,59.66000000000054,70.79999999999654,3.879999999999974,4.199999999999903,71.16300000000007
Andorra,2022,10.729999999999905,9.208000000000197,99.0,35012.17234120495,97.99999999999999,10.464387242882438,48.180000000000014,98.19999999999987,2.57000000000005,3.1700000000000017,77.43299999999999
Andorra,2023,10.519999999999868,9.664000000000215,99.0,34055.21377176489,97.99999999999999,10.438859024670975,48.20000000000002,97.99999999999983,2.640000000000043,3.220000000000013,77.43699999999997
Andorra,2024,10.309999999999832,10.120000000000346,99.0,33098.25520232483,97.99999999999999,10.41333080645952,48.22000000000003,97.79999999999978,2.710000000000065,3.2700000000000244,77.57699999999998
Andorra,2025,10.099999999999795,10.576000000000477,99.0,32141.29663288477,97.99999999999999,10.387802588248064,48.24000000000003,97.59999999999968,2.7800000000000864,3.320000000000036,78.25299999999999
Angola,2022,3.2099999999995816,2.8360000000000696,56.39999999999873,2663.8917241494637,56.39999999999873,7.8952535435687565,31.700000000000045,56.89999999999873,6.579999999999956,9.8599999999999,60.59523000000003
Angola,2023,2.4999999999995453,2.9480000000000928,54.999999999997726,2531.4127749851905,54.999999999997726,7.852006637565381,32.20000000000016,56.599999999998204,6.499999999999943,9.739999999999867,61.092230000000036
Angola,2024,1.7899999999995089,3.0600000000001444,53.59999999999718,2398.933825820859,53.59999999999718,7.808759731561992,32.70000000000027,56.299999999997794,6.419999999999931,9.619999999999862,61.54600000000004
Angola,2025,1.0799999999992451,3.1720000000001676,52.199999999996635,2266.454876656586,52.199999999996635,7.765512825558602,33.20000000000039,55.999999999997385,6.339999999999918,9.49999999999983,61.41223000000003
Antigua and Barbuda,2022,9.1099999999999,5.211000000000126,93.89999999999907,15446.886986320489,93.39999999999941,9.643938493691792,62.669999999999845,93.49999999999943,3.0700000000000074,4.8700000000000045,74.81400000000002
Antigua and Barbuda,2023,8.7199999999998,5.3400000000001455,93.39999999999873,14956.118184151477,92.79999999999905,9.614160754425164,63.24000000000001,93.19999999999925,3.1200000000000045,4.839999999999996,74.67399999999999
Antigua and Barbuda,2024,8.3299999999997,5.469000000000165,92.8999999999985,14465.349381982349,92.19999999999868,9.584383015158537,63.81000000000017,92.89999999999907,3.170000000000016,4.809999999999988,74.478
Antigua and Barbuda,2025,7.9399999999996,5.598000000000184,92.39999999999816,13974.58057981322,91.59999999999832,9.554605275891909,64.38000000000011,92.59999999999889,3.2200000000000273,4.77999999999998,74.35699999999999
Argentina,2022,8.60000000000008,11.046000000000106,74.59999999999854,11563.351747674518,75.39999999999964,9.357881044593938,68.37000000000012,74.39999999999964,2.170000000000016,1.6499999999999702,74.66299999999998
Argentina,2023,8.720000000000141,11.246000000000151,71.99999999999818,11202.657589817303,73.19999999999982,9.329338043958245,69.14000000000033,72.19999999999891,2.2200000000000273,1.619999999999969,74.78199999999997
Argentina,2024,8.840000000000174,11.446000000000197,69.39999999999782,10841.963431960205,70.99999999999909,9.300795043322545,69.91000000000054,69.99999999999818,2.2700000000000387,1.5899999999999608,74.66599999999995
