Model,Full_R2,NoMort_R2,R2_Drop,Full_RMSE,NoMort_RMSE,RMSE_Increase
Random Forest,0.9881027918021259,0.875152063479785,0.11295072832234088,0.7663552696736105,2.48255170009528,1.7161964304216695
Gradient Boosting,0.9835769672438015,0.7979077337897722,0.1856692334540293,0.9003975337830923,3.1585115127233663,2.258113978940274
Linear Regression,0.9699176272190843,0.6793376034545757,0.29058002376450853,1.2186069806549351,3.9786124220872456,2.7600054414323107
Ridge (alpha=1.0),0.969911577987813,0.6832066197098772,0.28670495827793585,1.2187294986650181,3.954537208815086,2.735807710150068
