Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,RMSE_Gap,R2_Gap
DummyRegressor,9.575415805515995,9.308237114515464,7.835718010182017,7.676658321262128,0.0,-0.0016633162021579828,0.26717869100053093,0.0016633162021579828
Linear Regression,4.029437282713945,3.920590139402319,2.9980771160185378,2.907484439712389,0.8229183675273908,0.8222990375836629,0.10884714331162648,0.0006193299437279309
Decision Tree,1.8410821406245814,2.249737204241955,1.284002288270043,1.5220592180535242,0.9630315666533488,0.9414872547989482,-0.4086550636173736,0.021544311854400533
