Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,RMSE_Gap,R2_Gap
DummyRegressor,9.634765743266469,8.745665328073315,7.904017950457079,7.466008881381092,0.0,-0.10430479210674348,0.8891004151931536,0.10430479210674348
Linear Regression,4.090755959526127,3.6626022259595863,3.058079152339822,2.7916034218167662,0.8197294333490603,0.8063208998783774,0.4281537335665404,0.013408533470682937
Decision Tree,1.7544947856540538,3.0922901271849987,1.2321343322722353,2.079773310018277,0.9668394409215981,0.8619413201314092,-1.337795341530945,0.1048981207901889
